date,id,content,url
2023-05-02 03:52:51+00:00,1653246145022312448,"Vice fucked with me and lost.

Now, to bankrupt the rest of the ops.

#TopG https://t.co/v63JjRdTvO",https://twitter.com/Cobratate/status/1653246145022312448
2023-05-01 16:30:34+00:00,1653074444930236425,"They are trying to discredit me to the point my ideas are ignored.

They are scared of you listening to me.

Have you ever considered why that is?

Maybe... it’s because you will stop listening to them. https://t.co/RCNHuTQfdp",https://twitter.com/Cobratate/status/1653074444930236425
2023-05-01 15:09:32+00:00,1653054050600976384,"1. 
 
I don’t need to be motivated because I’m a disciplined person.

If I allocate X amount of time to do something, I’m going to do exactly that, with complete and absolute vigor for the allocated amount of time.",https://twitter.com/Cobratate/status/1653054050600976384
2023-05-01 15:09:00+00:00,1653053914411941897,97 Quotes Of Andrew Tate https://t.co/ZAjL6baC5Y,https://twitter.com/Cobratate/status/1653053914411941897
2023-05-01 13:07:05+00:00,1653023233988255745,"Honor. Dignity. Destiny. 

The Matrix takes all of the things that are most important to you and trivializes them. 

It’s important you do not believe in the things which matter - so they can occupy you with the things which don’t.",https://twitter.com/Cobratate/status/1653023233988255745
2023-05-01 11:59:02+00:00,1653006110624821248,Any woman who isnt helping me be a super hero is wasting both her and my potential.,https://twitter.com/Cobratate/status/1653006110624821248
2023-05-01 10:42:00+00:00,1652986724761448449,"Oh? They injected you with poison which altered your DNA?

Oh... because the TV said so? Oh thats great.

You are welcome to your decisions, but i will not fornicate with the genetically inferior.

Say no to Vaxihoes.",https://twitter.com/Cobratate/status/1652986724761448449
2023-05-01 10:22:57+00:00,1652981930919354370,"GM

https://t.co/D8zQscj99r",https://twitter.com/Cobratate/status/1652981930919354370
2023-05-01 10:19:10+00:00,1652980975486238720,@Art0fLife_ Thank you for today,https://twitter.com/Cobratate/status/1652980975486238720
2023-05-01 09:23:24+00:00,1652966943178076161,Listen to Grandma https://t.co/cl9KcMU9e9,https://twitter.com/Cobratate/status/1652966943178076161
2023-05-01 09:20:58+00:00,1652966332529352706,"I believe men are personally responsible for their actions and for the results they achieve in their lives

Tenet 14

https://t.co/ZhWTGfyuQj",https://twitter.com/Cobratate/status/1652966332529352706
2023-04-30 18:35:41+00:00,1652743540324089861,"I can no longer escape my nightmares. 

They come to me while I’m awake. 

I don’t believe in panic. 

But I do believe in attacks. 

Truthfully, it’s all I’ve ever known. https://t.co/WI3awG69ZW",https://twitter.com/Cobratate/status/1652743540324089861
2023-04-30 18:03:51+00:00,1652735530197475328,"I love my fan mail.

Anyone who makes videos dedicated to me has a very strong possibility of getting flooded with money.

#ilovetopg on TikTok, tag me on Twitter. My team will watch every single video.

&lt;3 https://t.co/DLteK1RBqG",https://twitter.com/Cobratate/status/1652735530197475328
2023-04-30 16:06:06+00:00,1652705899578785793,"There is one team. The Tate team.

You’re on my team or you are LOSING.

Pick a side.

https://t.co/aOSfeAigFj",https://twitter.com/Cobratate/status/1652705899578785793
2023-04-30 16:06:06+00:00,1652705897519407105,"I have suffered endlessly by God’s grace to be crowned undisputed king.

And I can name 25 online losers who want to be but never will, because they cannot and will not suffer.

Weak arrogant clowns.",https://twitter.com/Cobratate/status/1652705897519407105
2023-04-30 16:06:05+00:00,1652705895250272258,"They don’t work like me.

They have no network like mine.

Mindset fitness money, any of it - I surpass every individual on the planet

and ANYONE who says otherwise is lying to themselves and lying to you.

The internet is mine.

The world is mine.",https://twitter.com/Cobratate/status/1652705895250272258
